-100	0.43628	0.555798	0.134456	0.126097
-95	0.434482	0.551885	0.127645	0.128639
-90	0.444786	0.554723	0.12611	0.129624
-85	0.440215	0.553675	0.131209	0.128922
-80	0.428703	0.552133	0.129254	0.126671
-75	0.434493	0.551609	0.126304	0.130534
-70	0.430261	0.54355	0.130512	0.12751
-65	0.425398	0.547704	0.12688	0.13059
-60	0.42289	0.535273	0.132856	0.130226
-55	0.424449	0.527034	0.130573	0.129063
-50	0.423232	0.52292	0.128793	0.134967
-45	0.423306	0.522636	0.129807	0.134073
-40	0.400686	0.508961	0.128337	0.133223
-35	0.412046	0.495367	0.124073	0.130013
-30	0.387347	0.48723	0.128806	0.135421
-25	0.384824	0.464794	0.134136	0.129818
-20	0.398732	0.470449	0.128106	0.135954
-15	0.429841	0.474366	0.124314	0.13167
-10	0.453201	0.49101	0.130872	0.133046
-5	0.474245	0.497003	0.12969	0.128709
0	0.490382	0.514754	0.131469	0.131948
5	0.554581	0.559244	0.127992	0.124909
10	0.545684	0.560932	0.12602	0.126694
15	0.5364	0.551708	0.128142	0.129853
20	0.53442	0.556954	0.131288	0.124934
25	0.518891	0.559431	0.12558	0.126164
30	0.504201	0.557177	0.128976	0.127681
35	0.503849	0.560964	0.126195	0.133215
40	0.486098	0.553923	0.124536	0.126984
45	0.475187	0.556383	0.130773	0.128918
50	0.471301	0.551578	0.129214	0.125332
55	0.464193	0.554914	0.125601	0.13285
60	0.466221	0.555532	0.130782	0.125964
65	0.469187	0.552682	0.126068	0.124939
70	0.452429	0.564225	0.12641	0.125906
75	0.451516	0.557635	0.127661	0.127075
80	0.447	0.559139	0.125469	0.127095
85	0.450346	0.556577	0.131218	0.128538
90	0.442549	0.555792	0.129616	0.131207
95	0.445686	0.555622	0.125879	0.132065
100	0.446496	0.550963	0.127368	0.125953
