0.1	10	-0.04	0.05	
0.1	-10	-0.29	0.08
10	10	0.14	0.1	
10	-10	-0.41	0.11
20	10	0.29	0.14	
20	-10	-0.34	0.1
40	10	0.53	0.11	
40	-10	0.56	0.32
50	10	0.56	0.26	
50	-10	0.75	0.19


