-100	0.490065	0.504854	0.149966	0.146607
-95	0.479898	0.52512	0.146736	0.143026
-90	0.486055	0.516073	0.146041	0.149645
-85	0.484342	0.510844	0.145626	0.145132
-80	0.485484	0.51451	0.139982	0.134631
-75	0.486505	0.517012	0.140868	0.14773
-70	0.48934	0.508576	0.139301	0.144258
-65	0.486824	0.516492	0.135209	0.146934
-60	0.486779	0.523635	0.140187	0.146133
-55	0.494507	0.512843	0.139128	0.144771
-50	0.492416	0.516566	0.142771	0.14018
-45	0.491451	0.525633	0.143829	0.142863
-40	0.502508	0.525421	0.142517	0.147465
-35	0.501103	0.516834	0.15003	0.138002
-30	0.504339	0.524838	0.145254	0.143298
-25	0.509348	0.529041	0.144266	0.143781
-20	0.528775	0.530653	0.140423	0.144381
-15	0.525517	0.526291	0.142923	0.138802
-10	0.553564	0.57266	0.144809	0.140647
-5	0.567047	0.577122	0.144086	0.140971
0	0.559237	0.578466	0.143082	0.138678
5	0.565329	0.576144	0.142606	0.133761
10	0.549541	0.571001	0.1438	0.138841
15	0.528023	0.535526	0.143166	0.151332
20	0.514933	0.525378	0.140872	0.144353
25	0.506256	0.535046	0.139623	0.147111
30	0.51107	0.520137	0.143837	0.143029
35	0.508996	0.522448	0.143485	0.14196
40	0.494767	0.516239	0.139785	0.141697
45	0.487619	0.521319	0.143637	0.138447
50	0.496128	0.521447	0.146414	0.13908
55	0.4933	0.514108	0.145098	0.143938
60	0.489652	0.514986	0.146691	0.143038
65	0.487641	0.520526	0.146109	0.142962
70	0.492601	0.522604	0.148256	0.142469
75	0.491162	0.516809	0.145083	0.143549
80	0.486815	0.511504	0.1436	0.146231
85	0.487925	0.5122	0.143299	0.144214
90	0.485578	0.517188	0.147304	0.142445
95	0.485348	0.517112	0.145771	0.146092
100	0.480472	0.519695	0.138574	0.143349
